Distance Bin,satisfaction,Percentage
5000-6000,satisfied,27.27272727272727
2100-2400,satisfied,40.2838962310328
5000-6000,dissatisfied,72.72727272727273
1500-1800,satisfied,43.87033398821218
1500-1800,dissatisfied,56.12966601178782
2400-2700,dissatisfied,59.13608562691132
0-300,satisfied,75.95238095238095
300-600,satisfied,69.76842105263158
6000-7000,satisfied,12.5
6000-7000,dissatisfied,87.5
1800-2100,satisfied,41.85563114134543
3000-3500,dissatisfied,63.55555555555556
3500-4000,satisfied,39.136490250696376
0-300,dissatisfied,24.047619047619047
900-1200,satisfied,57.6544315129812
1800-2100,dissatisfied,58.14436885865457
600-900,dissatisfied,31.391200951248514
900-1200,dissatisfied,42.345568487018795
4000-5000,satisfied,35.34136546184739
1200-1500,satisfied,45.143358689291986
300-600,dissatisfied,30.23157894736842
1200-1500,dissatisfied,54.85664131070802
2700-3000,dissatisfied,63.97426733380986
4000-5000,dissatisfied,64.65863453815261
2400-2700,satisfied,40.86391437308868
2700-3000,satisfied,36.02573266619014
3000-3500,satisfied,36.44444444444444
2100-2400,dissatisfied,59.71610376896721
600-900,satisfied,68.6087990487515
3500-4000,dissatisfied,60.863509749303624
