Parameter,Satisfaction,Average_Score
Baggage handling,Satisfied,3.6530238240684176
Checkin service,Satisfied,3.405620036652413
Cleanliness,Satisfied,3.6487477092241907
Departure/Arrival time convenient,Satisfied,2.6194257788637754
Ease of Online booking,Satisfied,3.1154551007941356
Food and drink,Satisfied,3.666463042150275
Gate location,Satisfied,2.781307269395235
Inflight entertainment,Satisfied,3.603543066585217
Inflight wifi service,Satisfied,3.138668295662798
Leg room service,Satisfied,3.177153329260843
On-board service,Satisfied,3.4257788637751987
Online boarding,Satisfied,3.102626756261454
Online support,Satisfied,3.0580329871716554
Seat comfort,Satisfied,3.700671960904093
